trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 0.9980019986673331}",35,0,-140.38858293158438,"{0: 20, 1: 4, 2: 10, 3: 0, 4: 1}",0
2,False,"{'a': 0.002, 'e': 0.9960079893439915}",20,0,-110.16059171759804,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.002, 'e': 0.9940179640539353}",25,0,-141.90331031429426,"{0: 10, 1: 6, 2: 8, 3: 0, 4: 1}",0
4,False,"{'a': 0.002, 'e': 0.9920319148370607}",25,0,-207.7787326985002,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
5,False,"{'a': 0.002, 'e': 0.9900498337491681}",20,0,-62.49890039241697,"{0: 10, 1: 5, 2: 5, 3: 0, 4: 0}",0
6,False,"{'a': 0.002, 'e': 0.9880717128619306}",20,0,-119.05802975842823,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
7,False,"{'a': 0.002, 'e': 0.986097544262862}",20,0,-119.30760570590331,"{0: 7, 1: 7, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.002, 'e': 0.9841273200552852}",20,0,-56.94937025206402,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
9,False,"{'a': 0.002, 'e': 0.9821610323583009}",25,0,-188.56258481765485,"{0: 9, 1: 5, 2: 7, 3: 3, 4: 1}",0
10,False,"{'a': 0.002, 'e': 0.9801986733067555}",20,0,-121.43410656523204,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
11,False,"{'a': 0.002, 'e': 0.9782402350512103}",30,0,-203.68406059222679,"{0: 12, 1: 2, 2: 13, 3: 2, 4: 1}",0
12,False,"{'a': 0.002, 'e': 0.9762857097579095}",25,0,-109.91952647317905,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
13,False,"{'a': 0.002, 'e': 0.9743350896087496}",30,0,-175.20593500362415,"{0: 15, 1: 5, 2: 6, 3: 3, 4: 1}",0
14,False,"{'a': 0.002, 'e': 0.9723883668012472}",20,0,-79.04361316995768,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.002, 'e': 0.9704455335485085}",20,0,-108.87755285114588,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.002, 'e': 0.9685065820791979}",30,0,-214.00656464478666,"{0: 14, 1: 3, 2: 9, 3: 2, 4: 2}",0
17,False,"{'a': 0.002, 'e': 0.966571504637507}",25,0,-257.66546831154807,"{0: 11, 1: 6, 2: 2, 3: 1, 4: 5}",0
18,False,"{'a': 0.002, 'e': 0.9646402934831233}",25,0,-229.49435643275638,"{0: 13, 1: 0, 2: 8, 3: 0, 4: 4}",0
19,False,"{'a': 0.002, 'e': 0.9627129408911999}",35,0,-144.06075509037476,"{0: 17, 1: 10, 2: 7, 3: 0, 4: 1}",0
20,False,"{'a': 0.002, 'e': 0.9607894391523235}",25,0,-125.4730795499116,"{0: 17, 1: 4, 2: 0, 3: 2, 4: 2}",0
21,False,"{'a': 0.002, 'e': 0.9588697805724848}",20,0,-106.81558545323874,"{0: 9, 1: 5, 2: 5, 3: 0, 4: 1}",0
22,False,"{'a': 0.002, 'e': 0.956953957473047}",35,0,-340.3930986995192,"{0: 16, 1: 3, 2: 8, 3: 3, 4: 5}",0
23,False,"{'a': 0.002, 'e': 0.955041962190715}",35,0,-358.61839007165116,"{0: 16, 1: 2, 2: 10, 3: 1, 4: 6}",0
24,False,"{'a': 0.002, 'e': 0.9531337870775052}",25,0,-196.54351365741385,"{0: 7, 1: 3, 2: 11, 3: 4, 4: 0}",0
25,False,"{'a': 0.002, 'e': 0.9512294245007145}",20,0,-215.8503013126722,"{0: 7, 1: 2, 2: 7, 3: 1, 4: 3}",0
26,False,"{'a': 0.002, 'e': 0.9493288668428901}",30,0,-116.87719905090691,"{0: 18, 1: 5, 2: 5, 3: 1, 4: 1}",0
27,False,"{'a': 0.002, 'e': 0.9474321065017988}",20,0,-148.21232074264762,"{0: 7, 1: 4, 2: 6, 3: 2, 4: 1}",0
28,False,"{'a': 0.002, 'e': 0.9455391358903967}",20,0,-214.97290579137456,"{0: 9, 1: 1, 2: 4, 3: 3, 4: 3}",0
29,False,"{'a': 0.002, 'e': 0.943649947436799}",20,0,-39.87891778748273,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
