trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 0.9980019986673331}",25,11,-40.51183085781621,"{0: 9, 1: 4, 2: 0, 3: 0, 4: 1}",1
2,False,"{'a': 0.002, 'e': 0.9960079893439915}",35,0,-127.49593553775509,"{0: 20, 1: 7, 2: 7, 3: 0, 4: 1}",0
3,False,"{'a': 0.002, 'e': 0.9940179640539353}",20,0,-113.52255002213879,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.002, 'e': 0.9920319148370607}",30,0,-140.52535550588118,"{0: 22, 1: 4, 2: 0, 3: 1, 4: 3}",0
5,False,"{'a': 0.002, 'e': 0.9900498337491681}",30,0,-143.91802489087766,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
6,False,"{'a': 0.002, 'e': 0.9880717128619306}",25,0,-134.24580631834507,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",0
7,False,"{'a': 0.002, 'e': 0.986097544262862}",20,0,-169.24946021374703,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
8,False,"{'a': 0.002, 'e': 0.9841273200552852}",20,0,-68.1776899858866,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
9,False,"{'a': 0.002, 'e': 0.9821610323583009}",25,0,-189.19674823464388,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
10,False,"{'a': 0.002, 'e': 0.9801986733067555}",25,0,-124.10395053345056,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.002, 'e': 0.9782402350512103}",25,0,-148.71427988820912,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
12,False,"{'a': 0.002, 'e': 0.9762857097579095}",30,0,-45.97645699409602,"{0: 23, 1: 5, 2: 0, 3: 2, 4: 0}",0
13,False,"{'a': 0.002, 'e': 0.9743350896087496}",20,0,-90.51523498747844,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 0}",0
14,False,"{'a': 0.002, 'e': 0.9723883668012472}",25,0,-174.39134780297707,"{0: 16, 1: 3, 2: 1, 3: 2, 4: 3}",0
15,False,"{'a': 0.002, 'e': 0.9704455335485085}",25,0,-152.96650398648916,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
16,False,"{'a': 0.002, 'e': 0.9685065820791979}",20,0,-63.48799882615639,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
17,False,"{'a': 0.002, 'e': 0.966571504637507}",20,0,-59.43621849705171,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.002, 'e': 0.9646402934831233}",20,0,-100.88373695304016,"{0: 9, 1: 2, 2: 8, 3: 1, 4: 0}",0
19,False,"{'a': 0.002, 'e': 0.9627129408911999}",25,0,-188.52501340573767,"{0: 15, 1: 0, 2: 5, 3: 2, 4: 3}",0
20,False,"{'a': 0.002, 'e': 0.9607894391523235}",20,0,-108.48240531961994,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",25,0,-132.94031064041567,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",25,11,-120.40212284754855,"{0: 6, 1: 3, 2: 2, 3: 1, 4: 2}",1
3,True,"{'a': 0, 'e': 0}",20,0,-184.02437121978636,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
4,True,"{'a': 0, 'e': 0}",30,0,-125.1899676181564,"{0: 19, 1: 5, 2: 3, 3: 1, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",20,0,-135.78215017856925,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",25,0,-125.19490085489483,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",20,0,-101.3501711816121,"{0: 10, 1: 6, 2: 2, 3: 1, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,0,-136.23045022006602,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",20,0,-82.69830641693146,"{0: 9, 1: 4, 2: 7, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,-167.51243884389473,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
